평점,판매자,구매자,날짜,제목,본문,이미지URL
5,SK하이닉스공식대리점 도우,alvi****,2023-07-01,가볍고 빠르고 만족,가볍고 빠르고 만족,[]
5,SK하이닉스공식대리점 도우,puha****,2023-06-30,잇썹의 리뷰를 보고 구매 했는데 하이닉스 메모리 좋네요 ㅎㅎ 디자인도 독특하고 휴대성도 좋습니다!,잇썹의 리뷰를 보고 구매 했는데 하이닉스 메모리 좋네요 ㅎㅎ 디자인도 독특하고 휴대성도 좋습니다!,['https://phinf.pstatic.net/checkout/20230630_72/1688115835492dIjdE_JPEG/20230630_064044.jpg']
5,SK하이닉스공식대리점 도우,leey****,2023-06-30,작고 속도도 빠르네요.잘 산듯 합니다.^^,"작고 속도도 빠르네요.
잘 산듯 합니다.^^",[]
5,SK하이닉스공식대리점 도우,gidr****,2023-06-30,작고 귀엽습니다다만 케이스는 뭔가 케이블이 안들어가는게 잘 안맞긴하네요,"작고 귀엽습니다
다만 케이스는 뭔가 케이블이 안들어가는게 잘 안맞긴하네요",['https://phinf.pstatic.net/checkout/20230630_47/1688087133860HAUl2_JPEG/20230630_100457.jpg']
5,SK하이닉스공식대리점 도우,body****,2023-06-30,제품 아주 만족합니다.,제품 아주 만족합니다.,['https://phinf.pstatic.net/checkout/20230630_50/1688109053250QEdFo_JPEG/20230630_161032.jpg']
5,SK하이닉스공식대리점 도우,flyh****,2023-06-29,꼭 가지고싶었던 제품인데 빨리 배송되어 좋아요,꼭 가지고싶었던 제품인데 빨리 배송되어 좋아요,[]
5,SK하이닉스공식대리점 도우,naba****,2023-06-29,발열 좀 있음동봉 케이스 케이블 구멍 크기 조정 시급전체적으로 만족합니다.,"발열 좀 있음
동봉 케이스 케이블 구멍 크기 조정 시급
전체적으로 만족합니다.",[]
5,SK하이닉스공식대리점 도우,inhe****,2023-06-29,배송빨라서 너무 좋았고 사용해보니 빠르게 자료 옮겨져서 좋았어요 강추,배송빨라서 너무 좋았고 사용해보니 빠르게 자료 옮겨져서 좋았어요 강추,['https://phinf.pstatic.net/checkout/20230629_66/1688029408815fI6gC_JPEG/EC7B5E32-1686-42FE-9C74-565BEEC0155B.jpeg']
5,SK하이닉스공식대리점 도우,farm****,2023-06-29,인식 잘되고 마음에 듭니다.,인식 잘되고 마음에 듭니다.,[]
5,SK하이닉스공식대리점 도우,ks01****,2023-06-29,너무 잘 쓰고 있습니다,너무 잘 쓰고 있습니다,[]
5,옥션,k*h*****,2023-06-29,아주 좋아요,아주 좋아요,[]
5,SK하이닉스공식대리점 도우,rbtj****,2023-06-29,너무 잘 사용중입니다 강추드립니다!,너무 잘 사용중입니다 강추드립니다!,['https://phinf.pstatic.net/checkout/20230629_220/1687974200715BCe8Y_JPEG/ssd_%A9%F6.jpg']
5,SK하이닉스공식대리점 도우,sbjo****,2023-06-29,정말 작네요. 성능이 기대되네요,정말 작네요. 성능이 기대되네요,['https://phinf.pstatic.net/checkout/20230629_222/1688050510764oktG3_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,jiju****,2023-06-29,삼당자분이 친절하고 배송이 너무 빠르네요,삼당자분이 친절하고 배송이 너무 빠르네요,['https://phinf.pstatic.net/checkout/20230629_223/1688039002620pRuK6_JPEG/20230628_210629.jpg']
5,SK하이닉스공식대리점 도우,pakr****,2023-06-28,내구성은 좀 더 써봐야 알겠지만속도는 정상적으로 잘 나오네요.디자인도 작고 예뻐서 들고다니기도 좋을 것 같아요.,"내구성은 좀 더 써봐야 알겠지만
속도는 정상적으로 잘 나오네요.
디자인도 작고 예뻐서 들고다니기도 좋을 것 같아요.","['https://phinf.pstatic.net/checkout/20230628_55/1687961510202viXrV_JPEG/20230628_123806.jpg', 'https://phinf.pstatic.net/checkout/20230628_258/1687961508580hdO8F_JPEG/20230628_123840.jpg', 'https://phinf.pstatic.net/checkout/20230628_150/168796150612585coI_JPEG/20230628_123931.jpg', 'https://phinf.pstatic.net/checkout/20230628_60/1687961505647voQFs_JPEG/20230628_123944.jpg', 'https://phinf.pstatic.net/checkout/20230628_60/16879615007866aauH_JPEG/20230628_124025.jpg']"
4,SK하이닉스공식대리점 도우,regg****,2023-06-28,단점은 대량 데이터 전송시 발열과 발열시 전송속도가 느려진다는 것이고 발열이 없을때 파일 복사 시간이 엄청 빠릅니다빠른 전송속도와 크기가 작아 휴대가 용이하다는게 가장 큰 장점인것,"단점은 대량 데이터 전송시 발열과 발열시 전송속도가 느려진다는 것이고 발열이 없을때 파일 복사 시간이 엄청 빠릅니다
빠른 전송속도와 크기가 작아 휴대가 용이하다는게 가장 큰 장점인것 같아요",[]
5,SK하이닉스공식대리점 도우,kejr****,2023-06-28,속도 빠르고 발열 적고 너무 가벼워요 단점이 하나도 없어요!,속도 빠르고 발열 적고 너무 가벼워요 단점이 하나도 없어요!,['https://phinf.pstatic.net/checkout/20230628_276/1687930461361RuYOR_JPEG/20230628_143204.jpg']
5,SK하이닉스공식대리점 도우,jjoo****,2023-06-28,가볍고 속도도 빨라서 넘 좋아요~!!정말 만족합니다.,"가볍고 속도도 빨라서 넘 좋아요~!!
정말 만족합니다.","['https://phinf.pstatic.net/checkout/20230628_226/1687961315946azFbq_JPEG/1687961304733.jpg', 'https://phinf.pstatic.net/checkout/20230628_205/1687961266321LuBks_JPEG/1687961226897.jpg']"
5,SK하이닉스공식대리점 도우,chae****,2023-06-28,잇섭 광고보고삿어영ㅋㅋㅋ속도가 빠르고 작고 컴펙트한 사이즈가 쓰기좋아요,잇섭 광고보고삿어영ㅋㅋㅋ속도가 빠르고 작고 컴펙트한 사이즈가 쓰기좋아요,['https://phinf.pstatic.net/checkout/20230628_151/1687920251274WUucj_JPEG/image.jpg']
5,SK하이닉스공식대리점 도우,purp****,2023-06-28,가볍고 작고 성능도 매우 만족입니다,가볍고 작고 성능도 매우 만족입니다,['https://phinf.pstatic.net/checkout/20230628_103/1687949800518FWlGK_JPEG/20230628_195508.jpg']
5,SK하이닉스공식대리점 도우,youx****,2023-06-28,작고 가벼우면서 속도도 나름빨라여,작고 가벼우면서 속도도 나름빨라여,[]
5,SK하이닉스공식대리점 도우,kmpa****,2023-06-28,배송도 빠르고제품도 안족합니다,"배송도 빠르고
제품도 안족합니다",[]
5,SK하이닉스공식대리점 도우,sgtl****,2023-06-28,아담하고 디자인이 예쁘네요,아담하고 디자인이 예쁘네요,[]
5,SK하이닉스공식대리점 도우,kyle****,2023-06-28,컴팩트 합니다...,컴팩트 합니다...,['https://phinf.pstatic.net/checkout/20230628_173/1687962138389Xp2mN_JPEG/20230628_232152.jpg']
5,SK하이닉스공식대리점 도우,vldz****,2023-06-28,배송 빠르네요~~ 잘 사용할게요 ㅎㅎ,배송 빠르네요~~ 잘 사용할게요 ㅎㅎ,['https://phinf.pstatic.net/checkout/20230628_54/1687961410156ryzJl_JPEG/IMG_3374.jpeg']
